# POE2 Wiki Category Review
#
# Format: [INCLUDE/EXCLUDE] Category Name (pages: N, subcats: N)
# Edit the [INCLUDE] / [EXCLUDE] tags below.
# When you're happy, pass this file to the ingestor.
# Lines starting with # are comments and will be ignored.
#
# Total categories: 804

[INCLUDE] Abyss (pages: 66, subcats: 1)
[INCLUDE] Soul cores (pages: 35, subcats: 0)
[INCLUDE] Spears (pages: 30, subcats: 1)
[INCLUDE] Spell gems (pages: 0, subcats: 3)
[INCLUDE] Spell meta gems (pages: 1, subcats: 0)
[INCLUDE] Spell skill gems (pages: 93, subcats: 0)
[INCLUDE] Spell support gems (pages: 47, subcats: 0)
[INCLUDE] Spirit gems (pages: 4, subcats: 0)
[INCLUDE] Staged gems (pages: 0, subcats: 3)
[INCLUDE] Staged skill gems (pages: 7, subcats: 0)
[INCLUDE] Staged support gems (pages: 1, subcats: 0)
[INCLUDE] Staves (pages: 16, subcats: 1)
[INCLUDE] Storm gems (pages: 0, subcats: 3)
[INCLUDE] Storm skill gems (pages: 6, subcats: 0)
[INCLUDE] Storm support gems (pages: 2, subcats: 0)
[INCLUDE] Strength gems (pages: 0, subcats: 3)
[INCLUDE] Strength meta gems (pages: 1, subcats: 0)
[INCLUDE] Strength skill gems (pages: 30, subcats: 0)
[INCLUDE] Strength support gems (pages: 209, subcats: 0)
[INCLUDE] Strike gems (pages: 0, subcats: 3)
[INCLUDE] Strike meta gems (pages: 1, subcats: 0)
[INCLUDE] Strike skill gems (pages: 29, subcats: 0)
[INCLUDE] Strike support gems (pages: 18, subcats: 0)
[EXCLUDE] String manipulation modules (pages: 2, subcats: 0)
[INCLUDE] Stubs (pages: 235, subcats: 2)
[EXCLUDE] Succession templates (pages: 1, subcats: 0)
[INCLUDE] Support gems (pages: 3, subcats: 54)
[INCLUDE] Supporter packs (pages: 1, subcats: 0)
[INCLUDE] Sustained gems (pages: 0, subcats: 3)
[INCLUDE] Sustained skill gems (pages: 33, subcats: 0)
[INCLUDE] Sustained support gems (pages: 2, subcats: 0)
[EXCLUDE] Sword icons (pages: 0, subcats: 2)
[INCLUDE] Swords (pages: 2, subcats: 3)
[EXCLUDE] Table cell templates (pages: 3, subcats: 0)
[EXCLUDE] Table templates (pages: 9, subcats: 2)
[INCLUDE] Tablets (pages: 9, subcats: 1)
[INCLUDE] Talismans (pages: 25, subcats: 1)
[EXCLUDE] Template documentation (pages: 297, subcats: 0)
[EXCLUDE] Template images (pages: 0, subcats: 3)
[EXCLUDE] Template namespace templates (pages: 1, subcats: 0)
[EXCLUDE] Template sandboxes (pages: 69, subcats: 0)
[EXCLUDE] Templates (pages: 14, subcats: 27)
[EXCLUDE] Templates adapted from Wikipedia (pages: 94, subcats: 0)
[INCLUDE] Terminology (pages: 10, subcats: 0)
[INCLUDE] The World (pages: 1, subcats: 5)
[INCLUDE] Timelines (pages: 6, subcats: 0)
[INCLUDE] Totem gems (pages: 0, subcats: 3)
[INCLUDE] Totem meta gems (pages: 3, subcats: 0)
[INCLUDE] Totem skill gems (pages: 4, subcats: 0)
[INCLUDE] Totem support gems (pages: 15, subcats: 0)
[INCLUDE] Tower maps (pages: 5, subcats: 0)
[INCLUDE] Town areas (pages: 8, subcats: 0)
[INCLUDE] Trading (pages: 3, subcats: 0)
[INCLUDE] Traps (pages: 7, subcats: 1)
[INCLUDE] Travel gems (pages: 0, subcats: 3)
[INCLUDE] Travel meta gems (pages: 1, subcats: 0)
[INCLUDE] Travel skill gems (pages: 12, subcats: 0)
[INCLUDE] Trial coins (pages: 6, subcats: 0)
[EXCLUDE] Trial icons (pages: 0, subcats: 4)
[INCLUDE] Trial monsters (pages: 10, subcats: 0)
[INCLUDE] Trial of Chaos (pages: 15, subcats: 1)
[INCLUDE] Trial of the Sekhemas (pages: 18, subcats: 2)
[INCLUDE] Trial unique monsters (pages: 9, subcats: 0)
[INCLUDE] Trigger gems (pages: 0, subcats: 3)
[INCLUDE] Trigger meta gems (pages: 18, subcats: 0)
[INCLUDE] Trigger skill gems (pages: 28, subcats: 0)
[INCLUDE] Trigger support gems (pages: 43, subcats: 0)
[INCLUDE] Two hand axes (pages: 9, subcats: 1)
[INCLUDE] Two hand maces (pages: 26, subcats: 1)
[INCLUDE] Two hand swords (pages: 9, subcats: 1)
[INCLUDE] Two hand weapons (pages: 0, subcats: 8)
[EXCLUDE] Two-handed weapon modifiers (pages: 10, subcats: 0)
[INCLUDE] Uncut gems (pages: 6, subcats: 0)
[INCLUDE] Unique Map areas (pages: 9, subcats: 0)
[INCLUDE] Unique amulets (pages: 25, subcats: 0)
[INCLUDE] Unique axes (pages: 1, subcats: 2)
[INCLUDE] Unique belts (pages: 20, subcats: 0)
[INCLUDE] Unique body armours (pages: 73, subcats: 0)
[INCLUDE] Unique boots (pages: 26, subcats: 0)
[INCLUDE] Unique bows (pages: 10, subcats: 0)
[INCLUDE] Unique bucklers (pages: 9, subcats: 0)
[INCLUDE] Unique charms (pages: 13, subcats: 0)
[INCLUDE] Unique claws (pages: 1, subcats: 0)
[INCLUDE] Unique crossbows (pages: 5, subcats: 0)
[INCLUDE] Unique daggers (pages: 2, subcats: 0)
[INCLUDE] Unique flails (pages: 1, subcats: 0)
[INCLUDE] Unique flasks (pages: 1, subcats: 2)
[INCLUDE] Unique foci (pages: 9, subcats: 0)
[INCLUDE] Unique gloves (pages: 36, subcats: 0)
[INCLUDE] Unique helmets (pages: 53, subcats: 0)
[INCLUDE] Unique items (pages: 3, subcats: 34)
[EXCLUDE] Unique items with legacy variants (pages: 216, subcats: 0)
[INCLUDE] Unique jewels (pages: 14, subcats: 0)
[INCLUDE] Unique life flasks (pages: 3, subcats: 0)
[INCLUDE] Unique maces (pages: 1, subcats: 2)
[INCLUDE] Unique mana flasks (pages: 3, subcats: 0)
[INCLUDE] Unique monsters (pages: 160, subcats: 11)
[INCLUDE] Unique one hand maces (pages: 10, subcats: 0)
[INCLUDE] Unique one hand swords (pages: 3, subcats: 0)
[INCLUDE] Unique quarterstaves (pages: 7, subcats: 0)
[INCLUDE] Unique quivers (pages: 9, subcats: 0)
[INCLUDE] Unique relics (pages: 7, subcats: 0)
[INCLUDE] Unique rings (pages: 36, subcats: 0)
[INCLUDE] Unique sceptres (pages: 12, subcats: 0)
[INCLUDE] Unique shields (pages: 21, subcats: 0)
[INCLUDE] Unique spears (pages: 11, subcats: 0)
[INCLUDE] Unique staves (pages: 10, subcats: 0)
[INCLUDE] Unique swords (pages: 1, subcats: 2)
[INCLUDE] Unique tablets (pages: 10, subcats: 0)
[INCLUDE] Unique talismans (pages: 5, subcats: 0)
[INCLUDE] Unique traps (pages: 1, subcats: 0)
[INCLUDE] Unique two hand maces (pages: 11, subcats: 0)
[INCLUDE] Unique wands (pages: 7, subcats: 0)
[INCLUDE] Unique-only base types (pages: 52, subcats: 1)
[INCLUDE] Unreleased content (pages: 10, subcats: 0)
[INCLUDE] Vault keys (pages: 15, subcats: 0)
[EXCLUDE] Version templates (pages: 5, subcats: 0)
[INCLUDE] Versions (pages: 45, subcats: 1)
[INCLUDE] Wands (pages: 11, subcats: 1)
[INCLUDE] Warcry gems (pages: 0, subcats: 3)
[INCLUDE] Warcry meta gems (pages: 1, subcats: 0)
[INCLUDE] Warcry skill gems (pages: 7, subcats: 0)
[INCLUDE] Warcry support gems (pages: 16, subcats: 0)
[INCLUDE] Warrior ascendancy classes (pages: 3, subcats: 0)
[EXCLUDE] Waystone modifiers (pages: 3, subcats: 0)
[INCLUDE] Waystones (pages: 17, subcats: 0)
[INCLUDE] Weapon added effects (pages: 12, subcats: 0)
[INCLUDE] Weapon effects (pages: 6, subcats: 0)
[EXCLUDE] Weapon modifiers (pages: 0, subcats: 2)
[EXCLUDE] Weapon skins (pages: 19, subcats: 0)
[INCLUDE] Weapons (pages: 1, subcats: 6)
[INCLUDE] Werewolf gems (pages: 0, subcats: 3)
[INCLUDE] Werewolf meta gems (pages: 1, subcats: 0)
[INCLUDE] Werewolf skill gems (pages: 5, subcats: 0)
[INCLUDE] Wind gems (pages: 0, subcats: 3)
[INCLUDE] Wind skill gems (pages: 9, subcats: 0)
[INCLUDE] Witch ascendancy classes (pages: 4, subcats: 0)
[INCLUDE] Wyvern gems (pages: 0, subcats: 3)
[INCLUDE] Wyvern skill gems (pages: 6, subcats: 0)
